"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"134","The food is prepared quickly and efficiently.","food","positive","4","8","food","positive"
"3336","and for this i had to shell out a small fortune?","","","","","price","negative"
"2421","For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.","Indian food","positive","22","33","food","positive"
"","","Paneer Roll","positive","43","54","",""
"159","The food looked very appetizing and delicious since it came on a variety of fancy plates.","food","positive","4","8","food","positive"
"","","plates","positive","82","88","",""
"1490","Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.","fresh mozzerella slices","positive","9","32","food","positive"
"","","Plain Cheese slice","positive","41","59","",""
"3546","I have tried literally every restaurant on curry row.","","","","","anecdotes/miscellaneous","neutral"
"1548","The food is terrible and overall, I would have to say avoid at all costs.","food","negative","4","8","food","negative"
"2107","I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.","","","","","anecdotes/miscellaneous","neutral"
"1709","Unfortunately, the food was NOT something to get worked up about.","food","negative","19","23","food","negative"
"1550","It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).","food","positive","114","118","food","positive"
"","","","","","","ambience","positive"
"3305","I had Filet Mignon with garlic mash.","Filet Mignon with garlic mash","neutral","6","35","food","neutral"
"874","I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.","pre-theater menu","positive","39","55","food","positive"
"","","roasted tomato soup with chevre","positive","68","99","price","positive"
"","","steak frites","positive","101","113","",""
"","","creme brulee","positive","115","127","",""
"3116","The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.","waitstaff","positive","4","13","service","positive"
"2707","Go inside and you won't want to leave.","","","","","anecdotes/miscellaneous","positive"
"2630","I loving bringing friends here - and I do so every chance I get.","","","","","anecdotes/miscellaneous","positive"
"3353","- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.","bread","positive","6","11","food","positive"
"","","pizza","positive","74","79","",""
"","","margarite pizza with cold prosciutto and baby arugula on top","neutral","220","280","",""
"","","salad","neutral","289","294","",""
"","","Peter's Favourite pizza with prosciutto and baby arugula","neutral","149","205","",""
"2081","Yes, the prices are high, but I felt it was worth it.","prices","conflict","9","15","price","conflict"
"533","The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","bruschettas","positive","23","34","food","positive"
"","","paninis","positive","36","43","",""
"","","tramezzinis","positive","45","56","",""
"972","Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.","waiters","positive","27","34","service","positive"
"","","diners","neutral","125","131","",""
"3420","While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.","chef","positive","48","52","food","positive"
"","","dishes","positive","128","134","",""
"","","cuisine","neutral","82","89","",""
"","","Indian","positive","154","160","",""
"2329","The owner truly caters to all your needs.","owner","positive","4","9","service","positive"
"1827","He takes real pride in his food and his business.","food","positive","27","31","service","positive"
"","","","","","","food","positive"
"692","Every time in New York I make it a point to visit Restaurant Saul on Smith Street.","","","","","anecdotes/miscellaneous","positive"
"217","My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.","","","","","anecdotes/miscellaneous","positive"
"878","So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.","meal","positive","33","37","food","positive"
"","","pre-theater prix-fixe","positive","72","93","price","positive"
"2891","Over the years, it has always provided a pleasurable dining experience with quality food and wine.","food","positive","84","88","food","positive"
"","","wine","positive","93","97","",""
"","","dining","positive","53","59","",""
"2673","I would go back tho.","","","","","anecdotes/miscellaneous","positive"
"2276","The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.","menu","positive","14","18","food","positive"
"","","fried chicken","neutral","78","91","",""
"","","pork chop","neutral","93","102","",""
"","","noodle dishes","neutral","108","121","",""
"3199","too large for just two people but nothing was left.","","","","","food","positive"
"3414","I cannot imagine better Indian food in all of the city.","Indian food","positive","24","35","food","positive"
"209","Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).","privacy","positive","80","87","ambience","positive"
"","","corner booth table","positive","48","66","",""
"","","place","positive","15","20","",""
"3077","A pleasant surprise.","","","","","anecdotes/miscellaneous","positive"
"1228","I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!","manager","negative","50","57","service","negative"
